;Company;Category;Keywords;;;;;
;Abreva;Healthcare;Cold Sore Treatment, Healthcare;;;;;
;Activa;Food & Beverage;Yogurt, Probiotics;;;;;
;Accenture;Consulting;Business Consulting, IT Services;;;;;
;AccuWeather;Weather;Weather Forecast, Meteorology;;;;;
;Acqua Panna;Beverage;Bottled Water, Mineral Water;;;;;
;Acti Mel;Health;Honey, Health;;;;;
;Activia;Food & Beverage;Yogurt, Probiotics;;;;;
;Adafresh & Shoham;Agriculture;Fresh Produce, Agriculture;;;;;
;Advil;Healthcare;Pain Relief, Ibuprofen;;;;;
;Ades;Beverage;Plant-Based Beverage, Soy Milk;;;;;
;Aero;Food & Beverage;Chocolate, Nestle;;;;;
;Aesop;Skincare;Skincare Products, Beauty;;;;;
;AHAVA;Skincare;Dead Sea Minerals, Skincare;;;;;
;Airbnb;Hospitality;Short-Term Rentals, Travel;;;;;
;Alexander Style;Fashion;Clothing, Style;;;;;
;ALGIDA;Food & Beverage;Ice Cream, Algida;;;;;
;Alice and Olivia;Fashion;Women's Fashion, Designer;;;;;
;Align Probiotic;Healthcare;Probiotics, Digestive Health;;;;;
;ALLiBERT;Furniture;Outdoor Furniture, Home Decor;;;;;
;All Good;Skincare;Organic Skincare, Beauty;;;;;
;Alpro;Food & Beverage;Plant-Based, Dairy Alternatives;;;;;
;ALSTOM;Transportation;Railway Systems, Transportation;;;;;
;Alsafi;Food & Beverage;Dairy, Milk;;;;;
;Alterna;Haircare;Haircare Products, Beauty;;;;;
;Always;Hygiene;Feminine Hygiene, Menstrual Products;;;;;
;Always Discreet;Hygiene;Incontinence Products, Hygiene;;;;;
;Amazon;E-commerce;Online Retail, Technology;;;;;
;American Eagle;Fashion;Clothing, Apparel;;;;;
;American Express;Finance;Credit Cards, Financial Services;;;;;
;American Beauty;Cosmetics;Cosmetics, Beauty;;;;;
;Amway;Health;Nutritional Supplements, Health;;;;;
;Amika;Haircare;Hair Styling, Beauty;;;;;
;American Eagle Outfitters;Fashion;Clothing, Apparel;;;;;
;Andrex;Hygiene;Toilet Paper, Hygiene;;;;;
;Antika Erboristeria;Health;Herbal Supplements, Health;;;;;
;Ancor;Marine;Marine Electronics, Boating;;;;;
;Anmum;Nutrition;Maternal Nutrition, Health;;;;;
;Anlene;Nutrition;Bone Health, Dairy Alternatives;;;;;
;Annie's;Food & Beverage;Organic Food, Snacks;;;;;
;AOL;Technology;Internet, Media;;;;;
;Aon PLC;Insurance;Insurance, Risk Management;;;;;
;Apollo;Space;Space Exploration, Aerospace;;;;;
;Apple;Technology;Electronics, Devices;;;;;
;Apple Inc.;Technology;Electronics, Devices;;;;;
;Aptamil;Nutrition;Baby Formula, Infant Nutrition;;;;;
;Appletiser;Beverage;Sparkling Juice, Soft Drink;;;;;
;AQUAFINA;Beverage;Bottled Water, Soft Drink;;;;;
;Aqua dOr;Beverage;Bottled Water, Soft Drink;;;;;
;Aquafresh;Hygiene;Toothpaste, Oral Care;;;;;
;Arava;Skincare;Dead Sea Skincare, Beauty;;;;;
;ARIEL;Household;Laundry Detergent, Cleaning;;;;;
;Aramis;Fragrance;Men's Fragrance, Perfume;;;;;
;Atelier Cologne;Fragrance;Cologne, Perfume;;;;;
;Authentic Brands;Fashion;Brand Management, Licensing;;;;;
;Authentic Beauty Concept;Haircare;Salon Products, Beauty;;;;;
;Australian Diaries;Food & Beverage;Dairy, Milk;;;;;
;Autumn's Gold;Food & Beverage;Granola Bars, Snacks;;;;;
;Aussie;Haircare;Haircare Products, Beauty;;;;;
;Aveda;Haircare;Natural Haircare, Beauty;;;;;
;AXE;Men's Grooming;Men's Grooming, Body Spray;;;;;
;AXA;Insurance;Insurance, Financial Services;;;;;
;Axalta Coating System Ltd;Coatings;Coating Solutions, Industrial;;;;;
;Babller;Technology;Communication, Messaging;;;;;
;Babynov USA;Baby Products;Baby Care, Parenting;;;;;
;BAGIR;Fashion;Men's Fashion, Clothing;;;;;
;Bagley;Food & Beverage;Snacks, Chips;;;;;
;Bain de Terre;Haircare;Haircare Products, Beauty;;;;;
;Bank of America;Finance;Banking, Financial Services;;;;;
;Bank of America Corp;Finance;Banking, Financial Services;;;;;
;Barnangen;Skincare;Shower Products, Beauty;;;;;
;Barada;Food & Beverage;Olive Oil, Mediterranean;;;;;
;Barq's;Beverage;Root Beer, Soft Drink;;;;;
;Baskin Robbins;Food & Beverage;Ice Cream, Dessert;;;;;
;Baskin Robin;Food & Beverage;Ice Cream, Dessert;;;;;
;Bath & Body Works;Beauty;Body Care, Fragrance;;;;;
;Baupost Group;Finance;Hedge Fund, Investment;;;;;
;Cacharel;Fashion;Perfume, Women's Fashion;;;;;
;Cadbury;Food & Beverage;Chocolate, Confectionery;;;;;
;Calgon;Household;Water Softener, Cleaning;;;;;
;Caltex;Energy;Fuel, Gasoline;;;;;
;CAMAY;Hygiene;Soap, Beauty;;;;;
;Camelia;Beverage;Tea, Camelia Sinensis;;;;;
;Capri Holdings;Fashion;Luxury Fashion, Apparel;;;;;
;Carmel Agrexco;Agriculture;Agricultural Exports, Fresh Produce;;;;;
;Carmy;Food & Beverage;Dairy, Milk;;;;;
;Carnation;Food & Beverage;Evaporated Milk, Dairy;;;;;
;Carmel;Beverage;Wine, Winery;;;;;
;Carrefour;Retail;Hypermarket, Supermarket;;;;;
;Caribou Coffee;Food & Beverage;Coffee, Coffeehouse;;;;;
;Cascadian Farm;Food & Beverage;Organic Farming, Cereal;;;;;
;Cascade;Household;Dishwasher Detergent, Cleaning;;;;;
;CATERPILLAR;Machinery;Construction Equipment, Machinery;;;;;
;Calvin Klein;Fashion;Apparel, Fragrance;;;;;
;Cerave;Skincare;Skincare Products, Beauty;;;;;
;Centrale;Energy;Energy Provider, Utilities;;;;;
;Centrum;Nutrition;Multivitamins, Health;;;;;
;Chanel;Fashion;Luxury Fashion, Perfume;;;;;
;Charter Communications Inc.;Telecommunications;Cable TV, Internet;;;;;
;Charmin;Household;Toilet Paper, Bathroom;;;;;
;Cheerios;Food & Beverage;Cereal, Breakfast;;;;;
;Cheetos;Food & Beverage;Snacks, Cheese Puffs;;;;;
;Cheddars Scratch Kitchen;Food & Beverage;Casual Dining, Restaurant;;;;;
;Chevron Corporation;Energy;Oil and Gas, Energy;;;;;
;Chex Cereal;Food & Beverage;Cereal, Snacks;;;;;
;Chex Mix;Food & Beverage;Snack Mix, Trail Mix;;;;;
;Chilis;Food & Beverage;Casual Dining, Restaurant;;;;;
;Chicco;Baby Products;Baby Gear, Parenting;;;;;
;Chiclets;Confectionery;Chewing Gum, Candy;;;;;
;Citadel;Finance;Hedge Fund, Financial Services;;;;;
;Citi;Finance;Banking, Financial Services;;;;;
;Cif;Household;Cleaning Products, Household;;;;;
;Citi Bank;Finance;Banking, Financial Services;;;;;
;Ciel;Beverage;Soft Drink, Sparkling Water;;;;;
;Clinique;Skincare;Skincare Products, Beauty;;;;;
;Clin;Healthcare;Cold Sore Treatment, Healthcare;;;;;
;CNN;Media;News, Media;;;;;
;Coacola;Beverage;Soft Drink, Cola;;;;;
;Coach;Fashion;Luxury Fashion, Accessories;;;;;
;Coca Cola;Beverage;Soft Drink, Cola;;;;;
;Coca-Cola Co;Beverage;Soft Drink, Cola;;;;;
;Cocoa Puffs;Food & Beverage;Cereal, Chocolate;;;;;
;Coffeemate;Food & Beverage;Coffee Creamer, Dairy Alternatives;;;;;
;COFFEE;Food & Beverage;Coffee, Cafe;;;;;
;Coffee mate;Food & Beverage;Coffee Creamer, Dairy Alternatives;;;;;
;Coffee Starbucks?;Food & Beverage;Coffee, Coffeehouse;;;;;
;Colgate;Hygiene;Oral Care, Toothpaste;;;;;
;Colour Specialist;Haircare;Hair Color, Beauty;;;;;
;Color & Art;Art;Art Supplies, Coloring;;;;;
;Color Expert;Haircare;Hair Color, Beauty;;;;;
;Comcast;Telecommunications;Cable TV, Internet;;;;;
;Combat;Household;Insecticide, Pest Control;;;;;
;Contico;Storage;Storage Solutions, Containers;;;;;
;Confort;Household;Fabric Softener, Cleaning;;;;;
;Contac;Medicine;Cold and Flu, Medicine;;;;;
;Cookie Crip;Food & Beverage;Cookies, Snacks;;;;;
;Corn Flakes;Food & Beverage;Cereal, Breakfast;;;;;
;Costa Coffee;Food & Beverage;Coffee, Coffeehouse;;;;;
;Cottonelle;Hygiene;Toilet Paper, Bathroom;;;;;
;Country Goodness;Food & Beverage;Organic Dairy, Milk;;;;;
;Covergirl;Beauty;Makeup, Cosmetics;;;;;
;Crest;Hygiene;Toothpaste, Oral Care;;;;;
;CRUNCH;Food & Beverage;Chocolate, Snacks;;;;;
;CrossFit;Fitness;Exercise, Fitness;;;;;
;Curver;Home & Garden;Storage Solutions, Home Decor;;;;;
;Cult Gaia;Fashion;Handbags, Accessories;;;;;
;Dac;Electronics;Audio, Electronics;;;;;
;DAIES;Fashion;Women's Fashion, Clothing;;;;;
;Damla;Beverage;Mineral Water, Soft Drink;;;;;
;Damavand;Beverage;Mineral Water, Bottled Water;;;;;
;Danone;Food & Beverage;Dairy, Yogurt;;;;;
;Danone One Planet One Health;Food & Beverage;Sustainability, Health;;;;;
;Danonino;Food & Beverage;Kids' Yogurt, Dairy;;;;;
;Danette;Food & Beverage;Dessert, Dairy;;;;;
;Danao;Beverage;Fruit Juice, Dairy;;;;;
;Darphin;Skincare;Skincare Products, Beauty;;;;;
;Darphin Paris;Skincare;Skincare Products, Beauty;;;;;
;Dasani;Beverage;Bottled Water, Soft Drink;;;;;
;Davis Polk;Legal;Law Firm, Legal Services;;;;;
;Delta Air Lines;Aviation;Airlines, Air Travel;;;;;
;Dell;Technology;Computers, Electronics;;;;;
;Deloitte;Consulting;Business Consulting, Accounting;;;;;
;DELTA;Aviation;Airlines, Air Travel;;;;;
;Delight;Food & Beverage;Fruit Juice, Drinks;;;;;
;Delice Holding;Food & Beverage;Confectionery, Snacks;;;;;
;Denivit Whitening Expert;Oral Care;Toothpaste, Oral Care;;;;;
;Depend;Hygiene;Incontinence Products, Adult Care;;;;;
;Der General;Household;Cleaning Products, Household;;;;;
;DeVita Inc;Skincare;Vegan Skincare, Beauty;;;;;
;Disney;Entertainment;Entertainment, Media;;;;;
;DIVESTMENT;Finance;Investment, Financial Services;;;;;
;DIESEL;Fashion;Apparel, Accessories;;;;;
;Diadem;Haircare;Hair Accessories, Beauty;;;;;
;Diadermine;Skincare;Anti-Aging, Beauty;;;;;
